date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:04	48510/48510	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Sep%202025%2017:17:04%20GMT	https://www.immofonds.ch/	/home/taliban/websites/immofonds.ch/www.immofonds.ch/index.html	(from )
10:17:04	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2027%20Sep%202025%2017:17:04%20GMT	https://www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-72x72.svg	/home/taliban/websites/immofonds.ch/www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-72x72.svg	(from https://www.immofonds.ch/)
10:17:05	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2027%20Sep%202025%2017:17:05%20GMT	https://www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-144x144.svg	/home/taliban/websites/immofonds.ch/www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-144x144.svg	(from https://www.immofonds.ch/)
10:17:06	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2027%20Sep%202025%2017:17:06%20GMT	https://www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-60x60.svg	/home/taliban/websites/immofonds.ch/www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-60x60.svg	(from https://www.immofonds.ch/)
10:17:07	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202025%2017:17:06%20GMT	https://fonts.gstatic.com/	/home/taliban/websites/immofonds.ch/fonts.gstatic.com/index.html	(from https://www.immofonds.ch/)
10:17:07	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202025%2017:17:06%20GMT	https://fonts.googleapis.com/	/home/taliban/websites/immofonds.ch/fonts.googleapis.com/index.html	(from https://www.immofonds.ch/)
10:17:07	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2027%20Sep%202025%2017:17:07%20GMT	https://www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-120x120.svg	/home/taliban/websites/immofonds.ch/www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-120x120.svg	(from https://www.immofonds.ch/)
10:17:08	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2027%20Sep%202025%2017:17:08%20GMT	https://www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-76x76.svg	/home/taliban/websites/immofonds.ch/www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-76x76.svg	(from https://www.immofonds.ch/)
10:17:09	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2027%20Sep%202025%2017:17:09%20GMT	https://www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-152x152.svg	/home/taliban/websites/immofonds.ch/www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/apple-touch-icon-152x152.svg	(from https://www.immofonds.ch/)
10:17:10	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2027%20Sep%202025%2017:17:10%20GMT	https://www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/favicon-196x196.svg	/home/taliban/websites/immofonds.ch/www.immofonds.ch/typo3conf/ext/lst_immofonds/Resources/Public/Images/Icons/Favicons/favicon-196x196.svg	(from https://www.immofonds.ch/)
